time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523145619153,2018-04-08T00:00:19.153000Z,1014.1558065701739,-44,324,960,3007,20.5,1017.15,28.37,C2:9A:9F:E5:58:27
1523145624353,2018-04-08T00:00:24.352999Z,1011.8102588924467,-48,316,960,3007,20.5,1017.14,28.38,C2:9A:9F:E5:58:27
1523145629373,2018-04-08T00:00:29.372999Z,1020.4704797298156,-44,320,968,3007,20.5,1017.16,28.38,C2:9A:9F:E5:58:27
1523145634357,2018-04-08T00:00:34.357000Z,1011.6283902698658,-44,316,960,3001,20.5,1017.09,28.37,C2:9A:9F:E5:58:27
1523145639363,2018-04-08T00:00:39.362999Z,1021.9119335833201,-48,324,968,3007,20.5,1017.16,28.37,C2:9A:9F:E5:58:27
1523145645380,2018-04-08T00:00:45.380000Z,1014.1558065701739,-44,324,960,3019,20.5,1017.09,28.37,C2:9A:9F:E5:58:27
1523145650483,2018-04-08T00:00:50.483000Z,1022.1076264268846,-52,324,968,3007,20.5,1017.2,28.37,C2:9A:9F:E5:58:27
1523145655542,2018-04-08T00:00:55.542000Z,1017.9430239458395,-44,324,964,3007,20.5,1017.16,28.37,C2:9A:9F:E5:58:27
1523145661073,2018-04-08T00:01:01.072999Z,1014.7472591734357,-56,324,960,3007,20.5,1017.17,28.37,C2:9A:9F:E5:58:27
1523145666643,2018-04-08T00:01:06.642999Z,1016.8579055108929,-48,320,964,3007,20.5,1017.14,28.37,C2:9A:9F:E5:58:27
1523145672173,2018-04-08T00:01:12.173000Z,1010.5523242267072,-48,324,956,3031,20.5,1017.17,28.37,C2:9A:9F:E5:58:27
1523145677373,2018-04-08T00:01:17.372999Z,1015.2595727201984,-40,316,964,3007,20.5,1017.25,28.37,C2:9A:9F:E5:58:27
1523145682363,2018-04-08T00:01:22.362999Z,1012.8849885352236,-44,320,960,3007,20.5,1017.17,28.37,C2:9A:9F:E5:58:27
1523145687859,2018-04-08T00:01:27.858999Z,1018.5322773481457,-56,324,964,3013,20.5,1017.06,28.37,C2:9A:9F:E5:58:27
1523145693393,2018-04-08T00:01:33.392999Z,1021.5674231297708,-40,324,968,3001,20.5,1017.16,28.36,C2:9A:9F:E5:58:27
1523145698422,2018-04-08T00:01:38.421999Z,1018.3201854033927,-52,324,964,3019,20.5,1017.18,28.36,C2:9A:9F:E5:58:27
1523145703463,2018-04-08T00:01:43.463000Z,1019.058388906151,-40,328,964,3013,20.5,1017.15,28.37,C2:9A:9F:E5:58:27
1523145709020,2018-04-08T00:01:49.019999Z,1012.8849885352236,-44,320,960,3013,20.5,1017.06,28.37,C2:9A:9F:E5:58:27
1523145715083,2018-04-08T00:01:55.082999Z,1021.5674231297708,-40,324,968,3001,20.5,1017.12,28.37,C2:9A:9F:E5:58:27
1523145720633,2018-04-08T00:02:00.632999Z,1016.8579055108929,-48,320,964,3013,20.5,1017.16,28.36,C2:9A:9F:E5:58:27
1523145726183,2018-04-08T00:02:06.183000Z,1018.1237645787471,-48,324,964,3001,20.5,1017.12,28.37,C2:9A:9F:E5:58:27
1523145731363,2018-04-08T00:02:11.362999Z,1024.265590557449,-44,320,972,3013,20.5,1017.18,28.36,C2:9A:9F:E5:58:27
1523145736363,2018-04-08T00:02:16.362999Z,1023.0229713940934,-44,316,972,3007,20.5,1017.14,28.37,C2:9A:9F:E5:58:27
