time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1522826433358,2018-04-04T07:20:33.358000Z,1009.8237469974649,-104,332,948,3007,20,1009.91,35.24,C2:9A:9F:E5:58:27
1522826438318,2018-04-04T07:20:38.318000Z,1009.8237469974649,-104,332,948,3001,20,1009.88,35.22,C2:9A:9F:E5:58:27
1522826443413,2018-04-04T07:20:43.413000Z,1013.998027611494,-108,332,952,3013,20,1009.9,35.2,C2:9A:9F:E5:58:27
1522826448414,2018-04-04T07:20:48.414000Z,1010.243534995399,-108,332,948,3013,20,1009.84,35.17,C2:9A:9F:E5:58:27
1522826453367,2018-04-04T07:20:53.367000Z,1017.3377020439182,-104,332,956,3007,20,1009.89,35.15,C2:9A:9F:E5:58:27
1522826458277,2018-04-04T07:20:58.276999Z,1000.5918248716606,-100,328,940,3013,20,1009.89,35.13,C2:9A:9F:E5:58:27
1522826463437,2018-04-04T07:21:03.437000Z,1013.5797945894541,-104,332,952,3001,20,1009.9,35.1,C2:9A:9F:E5:58:27
1522826468347,2018-04-04T07:21:08.346999Z,1009.372082039126,-112,328,948,3013,20,1009.78,35.08,C2:9A:9F:E5:58:27
1522826473393,2018-04-04T07:21:13.392999Z,1008.5157410769551,-104,328,948,3001,20,1009.9,35.07,C2:9A:9F:E5:58:27
1522826478327,2018-04-04T07:21:18.326999Z,1014.8970391128353,-104,336,952,3007,20,1009.87,35.04,C2:9A:9F:E5:58:27
1522826483388,2018-04-04T07:21:23.388000Z,1013.1771809510911,-100,332,952,3013,20,1009.92,35.02,C2:9A:9F:E5:58:27
1522826488416,2018-04-04T07:21:28.415999Z,1019.0662392602358,-108,336,956,3013,20,1009.89,35,C2:9A:9F:E5:58:27
1522826493388,2018-04-04T07:21:33.388000Z,1008.9360732970152,-108,328,948,3001,20,1009.87,34.97,C2:9A:9F:E5:58:27
1522826498517,2018-04-04T07:21:38.516999Z,1010.7423014794622,-100,336,948,3019,20,1009.89,34.97,C2:9A:9F:E5:58:27
1522826503517,2018-04-04T07:21:43.516999Z,1012.0790482961298,-100,340,948,3007,20,1009.87,34.94,C2:9A:9F:E5:58:27
1522826508568,2018-04-04T07:21:48.568000Z,1009.3086742914677,-100,320,952,3013,20,1009.89,34.92,C2:9A:9F:E5:58:27
1522826513497,2018-04-04T07:21:53.496999Z,1005.2740919769095,-96,332,944,3001,20,1009.86,34.9,C2:9A:9F:E5:58:27
1522826518438,2018-04-04T07:21:58.437999Z,1015.6377306894423,-100,328,956,3001,20,1009.81,34.89,C2:9A:9F:E5:58:27
1522826523477,2018-04-04T07:22:03.476999Z,1005.1785910971244,-108,328,944,3007,20,1009.91,34.88,C2:9A:9F:E5:58:27
1522826528387,2018-04-04T07:22:08.387000Z,1013.4535016467208,-144,304,956,3013,20,1009.88,34.88,C2:9A:9F:E5:58:27
1522826533316,2018-04-04T07:22:13.315999Z,986.3792374132781,-80,288,940,3001,20,1009.87,34.89,C2:9A:9F:E5:58:27
1522826538268,2018-04-04T07:22:18.267999Z,1009.4196352360102,-116,276,964,3013,20,1009.94,34.92,C2:9A:9F:E5:58:27
1522826543214,2018-04-04T07:22:23.213999Z,1014.5422613178812,-100,300,964,3001,20,1009.87,34.92,C2:9A:9F:E5:58:27
1522826548188,2018-04-04T07:22:28.187999Z,1024.3593119604077,-100,404,936,3007,20,1009.81,34.9,C2:9A:9F:E5:58:27
1522826553134,2018-04-04T07:22:33.134000Z,1014.3529957564083,-100,324,956,3001,20,1009.97,34.92,C2:9A:9F:E5:58:27
1522826558218,2018-04-04T07:22:38.217999Z,1054.1043591599457,-56,404,972,3013,20,1009.85,34.98,C2:9A:9F:E5:58:27
1522826563207,2018-04-04T07:22:43.207000Z,1003.6493411545688,-32,328,948,3013,20,1009.87,35.02,C2:9A:9F:E5:58:27
1522826568148,2018-04-04T07:22:48.148000Z,1008.5236734950747,-28,320,956,3001,20,1009.86,35.01,C2:9A:9F:E5:58:27
1522826573158,2018-04-04T07:22:53.157999Z,1014.5186050536481,-8,328,960,2995,20,1009.84,35.03,C2:9A:9F:E5:58:27
1522826578094,2018-04-04T07:22:58.094000Z,1010.7106410837871,-24,276,972,3013,20,1009.89,35,C2:9A:9F:E5:58:27
1522826583028,2018-04-04T07:23:03.028000Z,1067.9101085765599,-52,392,992,3001,20,1009.91,34.98,C2:9A:9F:E5:58:27
1522826587967,2018-04-04T07:23:07.967000Z,1007.0312805469351,-72,332,948,2995,20,1009.88,34.96,C2:9A:9F:E5:58:27
1522826592888,2018-04-04T07:23:12.888000Z,1013.9270190699132,-96,424,916,3001,20,1009.82,34.92,C2:9A:9F:E5:58:27
1522826597784,2018-04-04T07:23:17.783999Z,1004.0318720040714,-108,440,896,3001,20,1009.86,34.9,C2:9A:9F:E5:58:27
1522826602717,2018-04-04T07:23:22.717000Z,1019.2153844992725,-116,440,912,3001,20,1009.91,34.88,C2:9A:9F:E5:58:27
1522826607648,2018-04-04T07:23:27.648000Z,1023.9453110396082,-192,336,948,3001,20,1009.87,34.86,C2:9A:9F:E5:58:27
1522826612568,2018-04-04T07:23:32.568000Z,1010.1089050196518,-100,256,972,2995,20,1009.92,34.84,C2:9A:9F:E5:58:27
1522826617518,2018-04-04T07:23:37.517999Z,1017.3848829228789,-64,280,976,3013,20,1009.9,34.81,C2:9A:9F:E5:58:27
1522826622577,2018-04-04T07:23:42.576999Z,1033.8587911315549,-104,272,992,3013,20,1009.89,34.77,C2:9A:9F:E5:58:27
1522826627587,2018-04-04T07:23:47.586999Z,1018.273047860936,32,260,984,3001,20,1009.84,34.76,C2:9A:9F:E5:58:27
1522826632537,2018-04-04T07:23:52.536999Z,1025.8888828718245,-28,260,992,3013,20,1009.82,34.73,C2:9A:9F:E5:58:27
1522826637477,2018-04-04T07:23:57.476999Z,997.7414494747625,-48,220,972,3001,20,1009.8,34.69,C2:9A:9F:E5:58:27
1522826642517,2018-04-04T07:24:02.516999Z,1017.4241986506906,-56,200,996,3001,19.5,1009.82,34.67,C2:9A:9F:E5:58:27
1522826647527,2018-04-04T07:24:07.526999Z,1009.3007480429211,-48,128,1000,3001,20,1009.84,34.66,C2:9A:9F:E5:58:27
1522826652418,2018-04-04T07:24:12.417999Z,1024.5857699577912,-36,156,1012,3007,19.5,1009.85,34.65,C2:9A:9F:E5:58:27
1522826657328,2018-04-04T07:24:17.328000Z,1011.6125740618293,-112,104,1000,3013,19.5,1009.92,34.63,C2:9A:9F:E5:58:27
1522826662317,2018-04-04T07:24:22.316999Z,1008.277739514267,-12,92,1004,3001,20,1009.88,34.6,C2:9A:9F:E5:58:27
1522826667237,2018-04-04T07:24:27.236999Z,1011.5255804971024,-8,84,1008,3019,20,1009.95,34.58,C2:9A:9F:E5:58:27
1522826672287,2018-04-04T07:24:32.286999Z,1016.2047037875784,-8,92,1012,2995,20,1009.9,34.55,C2:9A:9F:E5:58:27
1522826677188,2018-04-04T07:24:37.187999Z,1019.8352808174466,-8,88,1016,3013,20,1009.86,34.53,C2:9A:9F:E5:58:27
1522826682164,2018-04-04T07:24:42.164000Z,1011.5255804971024,-8,84,1008,3001,20,1009.87,34.5,C2:9A:9F:E5:58:27
1522826687048,2018-04-04T07:24:47.048000Z,1011.2012658219925,-8,80,1008,3013,20,1009.87,34.47,C2:9A:9F:E5:58:27
1522826692018,2018-04-04T07:24:52.017999Z,1011.501853680951,-4,84,1008,3001,20,1009.91,34.46,C2:9A:9F:E5:58:27
1522826697037,2018-04-04T07:24:57.036999Z,1019.4665271601614,0,84,1016,3001,20,1009.9,34.44,C2:9A:9F:E5:58:27
1522826702118,2018-04-04T07:25:02.118000Z,1019.8745020834672,-12,88,1016,3019,20,1009.89,34.4,C2:9A:9F:E5:58:27
1522826707104,2018-04-04T07:25:07.104000Z,1015.9448803946009,-16,88,1012,3001,20,1009.82,34.37,C2:9A:9F:E5:58:27
1522826712127,2018-04-04T07:25:12.127000Z,1007.5395773864171,-8,84,1004,3013,20,1009.89,34.35,C2:9A:9F:E5:58:27
1522826717247,2018-04-04T07:25:17.246999Z,1023.2575433389192,-16,80,1020,2995,20,1009.86,34.33,C2:9A:9F:E5:58:27
1522826722194,2018-04-04T07:25:22.194000Z,1015.5510819254736,-12,84,1012,3013,20,1009.84,34.31,C2:9A:9F:E5:58:27
1522826727197,2018-04-04T07:25:27.197000Z,1015.8503826843794,-8,88,1012,3001,20,1009.78,34.29,C2:9A:9F:E5:58:27
1522826732247,2018-04-04T07:25:32.246999Z,1011.8656037241309,-8,88,1008,3007,20,1009.84,34.28,C2:9A:9F:E5:58:27
1522826737398,2018-04-04T07:25:37.398000Z,1007.5395773864171,-8,84,1004,3013,20,1009.8,34.24,C2:9A:9F:E5:58:27
1522826742427,2018-04-04T07:25:42.427000Z,1011.6204821967574,-16,84,1008,3019,20,1009.86,34.22,C2:9A:9F:E5:58:27
1522826747464,2018-04-04T07:25:47.463999Z,1011.9604735363927,-16,88,1008,3001,20,1009.83,34.2,C2:9A:9F:E5:58:27
